x_acc;y_acc;z_acc
1.57939;2.605;9.09577
1.55543;2.6242;9.01432
1.53627;2.6434;8.93287
1.55064;2.6386;8.91371
1.55064;2.6338;8.93767
1.52669;2.6386;8.98078
1.51231;2.6481;9.0239
1.52669;2.6146;9.11014
1.49315;2.5859;9.182
1.49794;2.6002;9.28741
1.48836;2.5811;9.37843
1.50752;2.5523;9.54133
1.56022;2.5523;9.64673
1.59855;2.5236;9.70901
1.63209;2.514;9.75213
1.64646;2.5236;9.73776
1.64646;2.514;9.68985
1.68479;2.514;9.60361
1.72791;2.5188;9.52695
1.76144;2.5284;9.45509
1.77582;2.5523;9.39281
1.79498;2.5859;9.3449
1.79977;2.5859;9.28261
1.79019;2.5955;9.22033
1.78061;2.6146;9.182
1.7854;2.6242;9.16284
1.76623;2.6338;9.15805
1.7327;2.6529;9.14847
1.72791;2.6673;9.1293
1.68479;2.6769;9.11014
1.65125;2.7008;9.09098
1.60813;2.7056;9.05265
1.57939;2.72;9.0239
1.5746;2.7248;9.00953
1.55543;2.72;9.0239
1.54106;2.7248;9.04786
1.52669;2.72;9.08619
1.50752;2.7104;9.11014
1.49794;2.7152;9.16284
1.49315;2.6961;9.1868
1.50752;2.6961;9.22033
1.51231;2.6817;9.22033
1.5171;2.6817;9.22991
1.59855;2.6673;9.22033
1.67521;2.6386;9.19638
1.75186;2.6721;9.21554
1.80935;2.6577;9.22991
1.84289;2.6577;9.24429
1.85726;2.6481;9.24908
1.89559;2.6577;9.26345
1.93871;2.6529;9.27782
1.95308;2.6721;9.26345
1.95787;2.6769;9.2347
1.95787;2.6817;9.22512
1.95787;2.6961;9.20117
1.93392;2.7056;9.15326
1.95308;2.72;9.11972
1.95308;2.72;9.10535
1.96745;2.744;9.10056
1.97225;2.72;9.09577
1.91475;2.7296;9.10056
1.91475;2.7104;9.08619
1.92913;2.7008;9.06223
1.90517;2.7296;9.05744
1.86684;2.7679;9.04786
1.82373;2.7871;9.01432
1.78061;2.811;8.99037
1.78061;2.8254;8.97599
1.79019;2.835;8.98558
1.77582;2.8254;8.99995
1.77582;2.8206;9.0766
1.79019;2.811;9.182
1.81893;2.7775;9.24908
1.83331;2.7488;9.32094
1.82373;2.744;9.35927
1.75665;2.7823;9.28741
1.50273;2.9644;9.19638
1.69437;2.7248;9.31615
1.72791;2.6625;9.27303
1.65604;2.7536;9.2395
1.61292;2.7967;9.26824
1.61292;2.7775;9.27303
1.65604;2.7344;9.25866
1.67042;2.7584;9.22991
1.63688;2.7871;9.20117
1.66562;2.8158;9.21554
1.79019;2.7775;9.22991
1.86205;2.72;9.182
1.91954;2.6386;9.1868
1.93392;2.6721;9.24908
1.8908;2.7392;9.35448
1.88122;2.7488;9.4503
1.88122;2.7296;9.43593
1.86205;2.7152;9.36885
1.88601;2.6961;9.27303
1.89559;2.6673;9.19638
1.91954;2.6673;9.13889
1.90517;2.6961;9.11493
1.88601;2.7392;9.0766
1.85726;2.744;8.96162
1.79977;2.7392;8.84664
1.76144;2.7488;8.80352
1.74228;2.7392;8.87538
1.72791;2.7392;9.01911
1.71832;2.7488;9.06223
1.68;2.72;9.06702
1.60813;2.7296;9.05744
1.59855;2.6961;9.0766
1.56981;2.7008;9.16763
1.57939;2.6673;9.27303
1.64167;2.6529;9.28261
1.68479;2.6434;9.22033
1.67042;2.6002;9.10056
2.45134;2.2122;9.10056
3.01188;2.1212;8.93287
1.51231;3.271;9.15805
1.17695;3.4482;9.31615
1.68;2.7631;8.62146
2.207;2.3367;8.20944
2.36031;2.4805;8.18069
2.13993;2.859;8.52085
1.95787;2.9548;8.7604
1.92913;2.72;8.78915
1.9435;2.5092;8.7604
1.91954;2.514;8.7604
1.90517;2.5859;8.78436
1.87164;2.6242;8.89934
1.87643;2.5811;9.07181
1.87643;2.5523;9.20596
1.8908;2.5427;9.2922
1.91475;2.5667;9.27782
1.90517;2.5763;9.2347
1.89559;2.5811;9.2347
1.86684;2.5907;9.28741
1.80456;2.5907;9.31136
1.7854;2.6002;9.33532
1.88122;2.6146;9.34969
1.88122;2.629;9.35927
1.86684;2.6481;9.38802
1.90517;2.6481;9.30178
1.9435;2.6817;9.1868
1.98662;2.7248;9.12451
2.05848;2.7488;9.0766
2.16388;2.7871;9.00953
2.25491;2.8158;8.90892
